1000000	1483337934263	10001	启动	{}	20170102
1000000	1483358832113	10001	启动	{}	20170102
1000000	1483306435395	10003	搜索商品	{"content": "watch", "page_num": 5}	20170102
1000000	1483340571826	10002	登陆	{}	20170102
1000000	1483370723847	10004	浏览商品	{"brand": "Apple", "price": 1000}	20170102
1000002	1483337847789	10006	加入购物车	{}	20170102
1000002	1483314869212	10001	启动	{}	20170102
1000002	1483329464174	10004	浏览商品	{"brand": "LianX", "price": 7000}	20170102
1000002	1483309387877	10007	生成订单	{"price_all": 7000}	20170102
1000002	1483348654085	10001	启动	{}	20170102
1000003	1483344408933	10007	生成订单	{"price_all": 7000}	20170102
1000003	1483356981763	10004	浏览商品	{"brand": "Hair", "price": 9000}	20170102
1000003	1483299635675	10004	浏览商品	{"brand": "LianX", "price": 4500}	20170102
1000003	1483369069441	10006	加入购物车	{}	20170102
1000003	1483350921448	10002	登陆	{}	20170102
1000004	1483332671888	10002	登陆	{}	20170102
1000004	1483347234822	10007	生成订单	{"price_all": 3500}	20170102
1000004	1483315739918	10001	启动	{}	20170102
1000004	1483369043498	10006	加入购物车	{}	20170102
1000004	1483323932934	10007	生成订单	{"price_all": 4000}	20170102
1000005	1483357110898	10002	登陆	{}	20170102
1000005	1483296342009	10010	退订商品	{}	20170102
1000005	1483366575041	10008	订单付款	{}	20170102
1000005	1483288985843	10005	收藏商品	{}	20170102
1000005	1483300346954	10010	退订商品	{}	20170102
1000007	1483363273669	10003	搜索商品	{"content": "computer", "page_num": 2}	20170102
1000007	1483326263904	10001	启动	{}	20170102
1000007	1483352602929	10002	登陆	{}	20170102
1000007	1483318460919	10008	订单付款	{}	20170102
1000007	1483338070069	10006	加入购物车	{}	20170102
1000011	1483350542576	10003	搜索商品	{"content": "Apple", "page_num": 4}	20170102
1000011	1483294425357	10004	浏览商品	{"brand": "LianX", "price": 8500}	20170102
1000011	1483340081273	10003	搜索商品	{"content": "computer", "page_num": 3}	20170102
1000011	1483297006693	10009	评价商品	{"how": 1}	20170102
1000011	1483304785865	10009	评价商品	{"how": -1}	20170102
1000015	1483350893512	10006	加入购物车	{}	20170102
1000015	1483357701281	10008	订单付款	{}	20170102
1000015	1483287306933	10002	登陆	{}	20170102
1000015	1483340019826	10009	评价商品	{"how": 1}	20170102
1000015	1483362510227	10008	订单付款	{}	20170102
1000017	1483337793301	10005	收藏商品	{}	20170102
1000017	1483295042977	10006	加入购物车	{}	20170102
1000017	1483323452442	10007	生成订单	{"price_all": 4500}	20170102
1000017	1483312374622	10006	加入购物车	{}	20170102
1000017	1483327873724	10001	启动	{}	20170102
1000018	1483338717501	10004	浏览商品	{"brand": "Apple", "price": 4500}	20170102
1000018	1483369638061	10001	启动	{}	20170102
1000018	1483299110056	10005	收藏商品	{}	20170102
1000018	1483302123840	10001	启动	{}	20170102
1000018	1483343698980	10002	登陆	{}	20170102
1000019	1483354906340	10001	启动	{}	20170102
1000019	1483348099701	10010	退订商品	{}	20170102
1000019	1483347155763	10007	生成订单	{"price_all": 8500}	20170102
1000019	1483309721284	10006	加入购物车	{}	20170102
1000019	1483356791623	10002	登陆	{}	20170102
1000020	1483347228882	10001	启动	{}	20170102
1000020	1483342621101	10003	搜索商品	{"content": "phone", "page_num": 3}	20170102
1000020	1483321805666	10005	收藏商品	{}	20170102
1000020	1483293236043	10003	搜索商品	{"content": "computer", "page_num": 1}	20170102
1000020	1483365465660	10001	启动	{}	20170102
1000022	1483318189162	10009	评价商品	{"how": 0}	20170102
1000022	1483370029142	10005	收藏商品	{}	20170102
1000022	1483288376349	10004	浏览商品	{"brand": "HuaW", "price": 4500}	20170102
1000022	1483353138067	10001	启动	{}	20170102
1000022	1483357920274	10001	启动	{}	20170102
1000024	1483348602931	10008	订单付款	{}	20170102
1000024	1483351355912	10005	收藏商品	{}	20170102
1000024	1483312673686	10001	启动	{}	20170102
1000024	1483363821427	10002	登陆	{}	20170102
1000024	1483356498666	10009	评价商品	{"how": 0}	20170102
1000027	1483372206771	10004	浏览商品	{"brand": "Hair", "price": 9000}	20170102
1000027	1483302516737	10003	搜索商品	{"content": "Apple", "page_num": 3}	20170102
1000027	1483346633859	10004	浏览商品	{"brand": "HuaW", "price": 3500}	20170102
1000027	1483302793926	10002	登陆	{}	20170102
1000027	1483352561781	10002	登陆	{}	20170102
1000030	1483342717313	10004	浏览商品	{"brand": "LianX", "price": 6000}	20170102
1000030	1483328769221	10005	收藏商品	{}	20170102
1000030	1483337570597	10006	加入购物车	{}	20170102
1000030	1483354864532	10008	订单付款	{}	20170102
1000030	1483289803250	10003	搜索商品	{"content": "watch", "page_num": 1}	20170102
1000032	1483354202695	10001	启动	{}	20170102
1000032	1483362340262	10006	加入购物车	{}	20170102
1000032	1483304697760	10006	加入购物车	{}	20170102
1000032	1483299811012	10002	登陆	{}	20170102
1000032	1483372642276	10002	登陆	{}	20170102
1000034	1483350026189	10004	浏览商品	{"brand": "HuaW", "price": 1000}	20170102
1000034	1483325370870	10006	加入购物车	{}	20170102
1000034	1483295850520	10009	评价商品	{"how": 0}	20170102
1000034	1483364583896	10007	生成订单	{"price_all": 6000}	20170102
1000034	1483347821230	10002	登陆	{}	20170102
1000036	1483327657212	10001	启动	{}	20170102
1000036	1483366770166	10005	收藏商品	{}	20170102
1000036	1483351345101	10003	搜索商品	{"content": "computer", "page_num": 2}	20170102
1000036	1483324292671	10002	登陆	{}	20170102
1000036	1483335247899	10002	登陆	{}	20170102
1000038	1483310421135	10005	收藏商品	{}	20170102
1000038	1483346490404	10004	浏览商品	{"brand": "LianX", "price": 5000}	20170102
1000038	1483355906339	10010	退订商品	{}	20170102
1000038	1483293483885	10003	搜索商品	{"content": "computer", "page_num": 1}	20170102
1000038	1483291334460	10010	退订商品	{}	20170102
1000040	1483340341593	10001	启动	{}	20170102
1000040	1483311477608	10001	启动	{}	20170102
1000040	1483348469356	10001	启动	{}	20170102
1000040	1483301191838	10005	收藏商品	{}	20170102
1000040	1483297513559	10008	订单付款	{}	20170102
